C1,C2,C3,C4,C5,C6,C7
2,1,18,12,-1.000,-1.000,30766
2,2,16,10,0.390,0.195,39196
2,3,13,10,0.414,0.207,25814
2,4,9,9,0.569,0.284,27571
2,5,6,8,0.436,0.218,30449
2,6,7,8,0.138,0.069,30119
2,7,11,8,0.552,0.276,30977
2,8,13,8,0.276,0.138,27341
2,9,12,9,0.195,0.098,22129
2,10,14,10,0.309,0.154,30007
2,11,16,9,0.309,0.154,25704
2,12,19,8,0.436,0.218,21033
2,13,19,9,0.138,0.069,31373
2,14,14,7,0.743,0.372,22511
2,15,19,8,0.704,0.352,24300
2,16,19,7,0.138,0.069,13888
2,17,18,7,0.138,0.069,29402
2,18,21,6,0.436,0.218,34259
2,19,20,7,0.195,0.098,22179
2,20,20,6,0.138,0.069,28624
2,21,23,7,0.436,0.218,25444
2,22,20,6,0.436,0.218,19796
2,23,23,7,0.436,0.218,16948
2,24,21,7,0.276,0.138,19460
2,25,22,7,0.138,0.069,28841
2,26,23,6,0.195,0.098,20950
2,27,20,6,0.414,0.207,20271
2,28,24,7,0.569,0.284,18348
2,29,24,6,0.138,0.069,16243
2,30,24,6,0.000,0.000,15076
2,31,26,5,0.309,0.154,11008
2,32,32,5,0.828,0.414,11902
2,33,33,5,0.138,0.069,15184
2,34,36,5,0.414,0.207,16279
2,35,37,5,0.138,0.069,19960
2,36,37,5,0.000,0.000,20792
2,37,36,5,0.138,0.069,22941
2,38,36,5,0.000,0.000,14415
2,39,36,5,0.000,0.000,10521
2,40,37,5,0.138,0.069,15168
2,41,41,5,0.552,0.276,31438
2,42,41,5,0.000,0.000,22823
2,43,42,5,0.138,0.069,20428
2,44,45,6,0.436,0.218,22003
2,45,44,6,0.138,0.069,19056
2,46,44,6,0.000,0.000,18370
2,47,44,5,0.138,0.069,19318
